Expiration,T_days,T_years,D_0T,B_0T,r_bar,q_bar,Forward,K_star,C_mid,P_mid,ImpliedVol
2022-03-16,7,0.019178082191780823,0.9987995197177366,0.9996921558922659,0.016054342576038348,0.06263407487344319,4274.060233669147,4275.0,71.45,72.4,0.304654146902763
2022-03-18,9,0.024657534246575342,0.9982030349337342,0.9991138118435378,0.0359557871625878,0.07294247376069997,4273.980349849312,4275.0,82.15,83.3,0.30899061252960613
2022-03-21,12,0.03287671232876712,0.9987095973497514,0.9997112226660574,0.0087849124102719,0.03927509307388384,4273.593929371832,4275.0,87.6,89.0,0.28570702870569537
2022-03-23,14,0.038356164383561646,0.9994140100115182,1.0004264227011914,-0.011115079302668831,0.015282074136929537,4273.550866044096,4270.0,98.1,94.6,0.2884849808849716
2022-03-25,16,0.043835616438356165,0.998669340979012,0.9997361260362901,0.006020419148000888,0.0303758733663251,4273.315217011791,4275.0,102.5,104.19999999999999,0.28958453989784455
2022-03-28,19,0.052054794520547946,0.9983225296069309,0.9993921642483349,0.011680394943594023,0.032252147710688746,4273.301448352849,4275.0,106.95,108.75,0.27730099219550247
2022-03-30,21,0.057534246575342465,0.9971708140591601,0.9983334957606358,0.028989593181854546,0.049243638713017804,4272.897884486267,4270.0,116.25,113.4,0.2813787969856451
2022-03-31,22,0.06027397260273973,0.9981838251171303,0.9994183798991759,0.009652413509259113,0.030159388033974607,4272.595649304399,4275.0,116.44999999999999,118.9,0.28127619346527233
2022-04-01,23,0.06301369863013699,0.9982953866343298,0.9994937032150472,0.008036744508837167,0.02707455536289724,4272.75114874478,4275.0,119.55,121.95,0.28213858258653085
2022-04-04,26,0.07123287671232877,0.9979350694477823,0.9991630577574955,0.011754301003251356,0.029018418968576508,4272.622413073052,4260.0,132.3,119.5,0.2774366212810167
2022-04-06,28,0.07671232876712329,0.9974380282541132,0.998760683760687,0.016165391491749687,0.03343998615160712,4272.214817508878,4280.0,125.3,133.1,0.27374587806526
2022-04-08,30,0.0821917808219178,0.9973837774065341,0.9988445821852846,0.01406571086452909,0.03187241909534703,4271.623623724474,4270.0,136.2,134.7,0.2775624988135186
2022-04-14,36,0.09863013698630137,0.9978194489079663,0.9992916291925046,0.007184637903742856,0.022132504546370734,4271.577725056789,4270.0,146.85,145.4,0.2732438034112826
2022-04-22,44,0.12054794520547946,0.9969899328552345,0.9985092836411864,0.012375396190941261,0.025007531262489474,4271.370696134035,4280.0,152.85000000000002,161.5,0.2657905861011727
2022-04-29,51,0.13972602739726028,0.9972077065600221,0.998759113918908,0.008886365989587364,0.020012013621967358,4271.23501982416,4270.0,170.25,169.14999999999998,0.2668019338777216
2022-05-20,72,0.19726027397260273,0.9972278647486453,0.999522251941327,0.0024224959593421224,0.014072700388235597,4268.060195523645,4270.0,197.5,199.55,0.26265458304481365
2022-05-31,83,0.2273972602739726,0.9939353931629074,0.9964387136388061,0.015689031755018294,0.02675085552314646,4267.132821622787,4275.0,205.35000000000002,213.1,0.25860877396923476
2022-06-17,100,0.273972602739726,0.995586282411682,0.9985165318632921,0.005418678912206596,0.016145726805667678,4265.326121196749,4275.0,224.39999999999998,234.25,0.25761751542217143
2022-06-30,113,0.3095890410958904,0.9955197839183053,0.9984251968504151,0.0050907630640457625,0.01450400928628044,4265.431388012621,4265.0,243.05,242.65,0.2571114206071348
2022-07-15,128,0.3506849315068493,0.9902434984485147,0.9931428571428742,0.01962092030199143,0.027957882379740517,4265.3912543153065,4275.0,251.1,260.6,0.25559962309052164
2022-07-29,142,0.38904109589041097,-0.0004098353689867049,0.0004090804383417091,20.053405238952287,,12810.01451522717,4270.0,268.20000000000005,271.7,1e-06
2022-08-19,163,0.4465753424657534,0.9927374127711945,0.9954803431287617,0.010143644238917594,0.016322191376651262,4266.092798977878,4300.0,266.7,300.54999999999995,0.24948399982454433
2022-09-16,191,0.5232876712328767,0.9921827382773678,0.9950285289747388,0.009524149281837358,0.014997442363897781,4265.645224057432,4250.0,315.9,300.79999999999995,0.25230503976394975
2022-09-30,205,0.5616438356164384,0.9904906168475844,0.9929999999999871,0.012507241229252506,0.017012358063593736,4267.069486404834,4250.0,327.54999999999995,310.6,0.252693676842441
2022-10-21,226,0.6191780821917808,0.9914947096107243,0.9935218446601961,0.01049654346536308,0.013795169798933334,4269.1516156851085,4600.0,154.45,483.35,0.20973070518478526
2022-11-18,254,0.6958904109589041,0.04681249034343134,-0.042677380464010733,,4.399550813996435,11733.379453000085,3900.0,593.4,226.7,
2022-12-16,282,0.7726027397260274,0.9892052019168115,0.9908459059604465,0.011902947984181596,0.014047949974475293,4270.796421239706,4250.0,375.4,354.35,0.2470626995711392
2022-12-30,296,0.810958904109589,0.9877527791821704,0.9885561357702327,0.014192888300071703,0.015195389042247612,4274.4035529307985,4300.0,354.4,380.20000000000005,0.24145399688124353
2023-01-20,317,0.8684931506849315,0.9890306819511477,0.989062629482071,0.012662878558034054,0.012700070951069257,4277.741820981289,4250.0,393.45000000000005,369.20000000000005,0.24260509510954562
2023-02-17,345,0.9452054794520548,0.985955660280335,0.9850000000000093,0.0159897907265627,0.014963830603871365,4282.030456852792,4350.0,353.15,420.1,0.23442614228414865
2023-03-17,373,1.021917808219178,0.9873096796236386,0.9859536741214056,0.013842511618041998,0.012497610056215228,4283.763469954166,4300.0,395.7,414.15,0.2370968078458546
2023-06-16,464,1.2712328767123289,0.9820355996726958,0.9778984962406041,0.017580886883934266,0.014259951425365559,4295.978025611159,4300.0,440.9,444.70000000000005,0.23493986749169785
2023-12-15,646,1.7698630136986302,0.9796224097903229,0.9695845382620427,0.017451977959359266,0.011632582598833369,4322.167845111856,4300.0,517.5999999999999,496.2,0.22932458249594012
